Frequency,Min,Max
60,2.11,13.86
61,2.15,13.9
62,2.23,13.92
63,2.26,13.94
64,2.31,14
65,2.37,14.03
66,2.46,14.07
67,2.51,14.11
68,2.56,14.19
69,2.67,14.25
70,2.75,14.3
71,2.82,14.37
72,2.92,14.48
73,3.04,14.54
74,3.11,14.56
75,3.28,14.61
76,3.3,14.61
77,3.448,14.67
78,3.633,14.73
79,3.79,14.76
80,3.99,14.77
81,4.12,14.77
82,4.33,14.7
83,5,14.65
84,5.27,11.282
85,5.61,11
86,5.75,10.93
87,5.96,11.25
88,6.12,12.02
89,6.4,12.39
90,6.7,12.63
91,7.02,12.93
92,7.53,13.3
93,7.84,13.75
94,8.26,14.125
95,8.76,14.35
96,9.38,14.5
97,10.21,14.56
98,8.35,14.57
99,9.2,14.55
100,9.36,14.54
101,9.38,14.41
102,9.42,14.31
103,9.41,14.17
104,9.31,14.09
105,8.63,13.95
106,12.72,13.9
107,12.51,13.89
108,12.48,13.81
109,12.59,13.75
110,12.81,13.68
111,13.12,13.45
112,13,13.21
113,12.96,13.04
114,13.12,12.85
115,13.42,12.65
116,13.83,12.56
117,14.19,12.5
118,14.57,12.39
119,14.67,11.18
120,14.71,11.71
121,14.65,11.44
122,14.659,10.56
123,14.465,10.35
124,14.05,9.98
125,13.32,10.01
126,12.87,10.26
127,12.19,10.29
128,11.54,10.55
129,11.04,11.09
130,10.49,11.33
131,10.1,12.17
132,9.73,12.06
133,9.31,12.4
134,9.09,12.9
135,8.87,13.26
136,8.48,13.63
137,8.23,14.02
138,8.03,14.28
139,7.37,14.57
140,6.21,13.94
141,6.6,13.61
142,6.39,13.94
143,6.118,14.2
144,5.75,14.12
145,5.36,14.05
146,5.01,13.89
147,4.59,13.8
148,4.23,13.86
149,3.84,13.85
150,3.34,13.6
151,3.05,12.57
152,2.67,11.803
153,2.32,11.97
154,1.54,12.15
155,2.48,11.51
156,0.98,11.45
157,0.27,11.44
158,0,11.62
159,-0.51,11.2
160,-0.74,10.1
161,-0.42,10.15
162,-0.32,10.23
163,-0.5,10.46
164,-0.6,11.33
165,-0.955,11.29
166,-0.104,11.11
167,-0.74,10.94
168,-1.1,10.69
169,-0.81,10.42
170,-0.86,10.13
171,-0.936,9.8
172,-0.87,9.87
173,-0.92,9.67
174,-0.943,8.96
175,-0.966,9.22
176,-1.01,9.17
177,-1.07,8.98
